Model,Metric,Before_Mean,After_Mean,Improvement_%,Absolute_Change
Mistral,EF,0.01937561102656634,0.017382558630785697,-10.286397642107511,-0.001993052395780643
Mistral,PH,0.07481349206349205,0.062400793650793644,-16.59152389540126,-0.01241269841269841
Mistral,OF,0.08713007139982333,0.0762185011933963,-12.523311448186359,-0.010911570206427024
Mistral,NH,0.5207579365079366,0.499670634920635,-4.049348096105332,-0.021087301587301543
Mistral,LF,0.1490138888888889,0.1573670634920635,5.605634928032175,0.008353174603174612
Mistral,EF1,0.07481349206349205,0.062400793650793644,-16.59152389540126,-0.01241269841269841
Mistral,EHI_CAL,0.1440757404241595,0.34119580547975287,136.8169717367207,0.19712006505559337
Mistral,EHI_EXP,0.34593534464500275,0.545966834226395,57.82337441890005,0.20003148958139227
Mistral,EHI_W,0.10410765135654433,0.28923480430265974,177.82281180477148,0.18512715294611543
Mistral,EHI,0.1440757404241595,0.34119580547975287,136.8169717367207,0.19712006505559337
DistilBART,EF,0.022865052916323354,0.020124676156795546,-11.985000732587213,-0.002740376759527808
DistilBART,PH,0.08009953866635248,0.0749483483771434,-6.430986214122797,-0.005151190289209087
DistilBART,OF,0.08147921102742255,0.08776821672754541,7.718540251949964,0.006289005700122863
DistilBART,NH,0.2970715558950853,0.2999618029029794,0.9729127378707422,0.0028902470078940867
DistilBART,LF,0.7798276886512181,0.8594134623546387,10.205558851221518,0.07958577370342057
DistilBART,EF1,0.08009953866635248,0.0749483483771434,-6.430986214122797,-0.005151190289209087
DistilBART,EHI_CAL,0.18536378043629229,0.3662519674202477,97.58550810638268,0.1808881869839554
DistilBART,EHI_EXP,0.3172898721851686,0.5117681837984208,61.2935768399679,0.19447831161325224
DistilBART,EHI_W,0.11975284943855122,0.3202959709662397,167.46417514732553,0.20054312152768847
DistilBART,EHI,0.18536378043629229,0.3662519674202477,97.58550810638268,0.1808881869839554
FlanT5,EHI,0.17303031473954528,0.14514958712960635,-16.113204008156913,-0.027880727609938927
FlanT5,EF1,0.08335795003910887,0.06268156600029773,-24.804333634776825,-0.02067638403881114
FlanT5,PH,0.0792776632724889,0.05974578639070462,-24.637301448518198,-0.019531876881784288
FlanT5,OF,0.07640040835581242,0.09017115867992218,18.024445968896572,0.013770750324109751
FlanT5,LF,2.641013912712026,0.8278005799232213,-68.65595535340582,-1.8132133327888047
FlanT5,NH,0.0989143456124588,0.026814914645103324,-72.89077284081446,-0.07209943096735548
FlanT5,EF,0.03699199498409081,0.04072699930640056,10.0967907351741,0.0037350043223097484
FlanT5,ROUGE1,0.1597810711699384,0.11029945707026742,-30.968383011429307,-0.04948161409967097
FlanT5,ROUGE2,0.07869122189576044,0.0491008400099499,-37.603154675889904,-0.029590381885810542
FlanT5,ROUGEL,0.12629765268159804,0.0858594996633627,-32.01813506398389,-0.040438153018235334
