Model,Metric,Before_Mean,After_Mean,Improvement_%,Absolute_Change
FlanT5,EHI,0.30678859621200405,0.1264818300052695,-58.77231697430333,-0.18030676620673455
FlanT5,EF1,0.31115097402597397,0.07232949428577438,-76.75421248087221,-0.23882147974019957
FlanT5,PH,0.29503986291486295,0.030428159061858515,-89.68676342198583,-0.2646117038530044
FlanT5,OF,0.07040497589214664,0.24036745900578957,241.40691898539725,0.16996248311364293
FlanT5,LF,0.34307954545454544,0.023871936972556167,-93.04186527910655,-0.31920760848198926
FlanT5,NH,0.11837499999999998,0.020562499999999997,-82.62935586061246,-0.09781249999999998
FlanT5,EF,0.048028331848980435,0.017669627446889987,-63.209991339174344,-0.030358704402090448
FlanT5,ROUGE1,0.39595930905083226,0.08891835373532216,-77.54356275939783,-0.3070409553155101
FlanT5,ROUGE2,0.2658478902599159,0.021264964431352472,-92.00107835704017,-0.24458292582856342
FlanT5,ROUGEL,0.35562611704554753,0.06930452868129965,-80.51196878984472,-0.28632158836424787
DistilBART,EF,0.029969315619757967,0.030789119298471775,2.735476809398122,0.0008198036787138083
DistilBART,PH,0.10352116402116401,0.09992989417989417,-3.4691165572052833,-0.0035912698412698396
DistilBART,OF,0.18102928031900042,0.19386727155530814,7.091665620989749,0.012837991236307716
DistilBART,NH,0.10104166666666668,0.10031944444444445,-0.7147766323024182,-0.0007222222222222352
DistilBART,LF,0.15238888888888888,0.13880555555555557,-8.913598250091127,-0.013583333333333308
DistilBART,EF1,0.10352116402116401,0.09992989417989417,-3.4691165572052833,-0.0035912698412698396
DistilBART,EHI_CAL,0.30932678294452304,0.29862138009754796,-3.4608716209663175,-0.010705402846975076
DistilBART,EHI_EXP,0.3784260297932203,0.37870860680083884,0.07467166245750294,0.000282577007618523
DistilBART,EHI_W,0.2549938829918109,0.24219284734438523,-5.020134403709123,-0.012801035647425685
DistilBART,EHI,0.30932678294452304,0.29862138009754796,-3.4608716209663175,-0.010705402846975076
Mistral,EF,0.01937561102656634,0.017382558630785697,-10.286397642107511,-0.001993052395780643
Mistral,PH,0.07481349206349205,0.062400793650793644,-16.59152389540126,-0.01241269841269841
Mistral,OF,0.08713007139982333,0.0762185011933963,-12.523311448186359,-0.010911570206427024
Mistral,NH,0.5207579365079366,0.499670634920635,-4.049348096105332,-0.021087301587301543
Mistral,LF,0.1490138888888889,0.1573670634920635,5.605634928032175,0.008353174603174612
Mistral,EF1,0.07481349206349205,0.062400793650793644,-16.59152389540126,-0.01241269841269841
Mistral,EHI_CAL,0.1440757404241595,0.14119580547975283,-1.998903448927714,-0.0028799349444066646
Mistral,EHI_EXP,0.34593534464500275,0.345966834226395,0.009102736068954672,3.148958139226332e-05
Mistral,EHI_W,0.10410765135654433,0.08923480430265968,-14.286026877072308,-0.014872847053884655
Mistral,EHI,0.1440757404241595,0.14119580547975283,-1.998903448927714,-0.0028799349444066646
